RC_id,SR_id,RC_path,RC_filename,RC_read_direction,RC_reads
RC_seq230707_DWDQH_A_230622_16S_c_59_1_S124_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-59-1_S124_L001_R1_001.fastq.gz,A-230622-16S-c-59-1_S124_L001_R1_001.fastq.gz,R1,35772
RC_seq230707_DWDQH_A_230622_16S_c_50_5_S101_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-50-5_S101_L001_R1_001.fastq.gz,A-230622-16S-c-50-5_S101_L001_R1_001.fastq.gz,R1,51518
RC_seq230707_DWDQH_A_230622_16S_c_50_2_S98_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-50-2_S98_L001_R2_001.fastq.gz,A-230622-16S-c-50-2_S98_L001_R2_001.fastq.gz,R2,38903
RC_seq230707_DWDQH_R_P1_16S_c_pos_S88_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R1_001.fastq.gz,R-P1-16S-c-pos_S88_L001_R1_001.fastq.gz,R1,17693
RC_seq230707_DWDQH_R_280622_16S_c_79_S19_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-280622-16S-c-79_S19_L001_R1_001.fastq.gz,R-280622-16S-c-79_S19_L001_R1_001.fastq.gz,R1,29474
RC_seq230707_DWDQH_R_210622_16S_c_38_4_S52_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-38-4_S52_L001_R1_001.fastq.gz,R-210622-16S-c-38-4_S52_L001_R1_001.fastq.gz,R1,30518
RC_seq230707_DWDQH_R_140722_16S_c_126_S66_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R1_001.fastq.gz,R-140722-16S-c-126_S66_L001_R1_001.fastq.gz,R1,34124
RC_seq230707_DWDQH_A_230622_16S_c_72_5_S182_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-72-5_S182_L001_R2_001.fastq.gz,A-230622-16S-c-72-5_S182_L001_R2_001.fastq.gz,R2,53481
RC_seq230707_DWDQH_H_200622_16S_c_24_1_S163_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-24-1_S163_L001_R2_001.fastq.gz,H-200622-16S-c-24-1_S163_L001_R2_001.fastq.gz,R2,32118
RC_seq230707_DWDQH_R_040722_16S_c_118_S58_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R2_001.fastq.gz,R-040722-16S-c-118_S58_L001_R2_001.fastq.gz,R2,27893
RC_seq230707_DWDQH_A_230622_16S_c_70_3_S166_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-70-3_S166_L001_R1_001.fastq.gz,A-230622-16S-c-70-3_S166_L001_R1_001.fastq.gz,R1,42513
RC_seq230707_DWDQH_A_230622_16S_c_50_7_S103_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-50-7_S103_L001_R1_001.fastq.gz,A-230622-16S-c-50-7_S103_L001_R1_001.fastq.gz,R1,44895
RC_seq230707_DWDQH_R_160622_16S_c_12_S12_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-12_S12_L001_R1_001.fastq.gz,R-160622-16S-c-12_S12_L001_R1_001.fastq.gz,R1,24333
RC_seq230707_DWDQH_H_200622_16S_c_19_4_S132_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-19-4_S132_L001_R1_001.fastq.gz,H-200622-16S-c-19-4_S132_L001_R1_001.fastq.gz,R1,19712
RC_seq230707_DWDQH_A_230622_16S_c_59_3_S126_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R1_001.fastq.gz,A-230622-16S-c-59-3_S126_L001_R1_001.fastq.gz,R1,40716
RC_seq230707_DWDQH_R_210622_16S_c_43_7_S72_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R2_001.fastq.gz,R-210622-16S-c-43-7_S72_L001_R2_001.fastq.gz,R2,50107
RC_seq230707_DWDQH_H_200622_16S_c_23_2_S158_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-23-2_S158_L001_R1_001.fastq.gz,H-200622-16S-c-23-2_S158_L001_R1_001.fastq.gz,R1,22572
RC_seq230707_DWDQH_R_210622_16S_c_47_S82_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-47_S82_L001_R2_001.fastq.gz,R-210622-16S-c-47_S82_L001_R2_001.fastq.gz,R2,25516
RC_seq230707_DWDQH_R_210622_16S_c_33_S20_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-33_S20_L001_R1_001.fastq.gz,R-210622-16S-c-33_S20_L001_R1_001.fastq.gz,R1,43446
RC_seq230707_DWDQH_A_230622_16S_c_57_S116_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R2_001.fastq.gz,A-230622-16S-c-57_S116_L001_R2_001.fastq.gz,R2,40123
RC_seq230707_DWDQH_R_140722_16S_c_135_S75_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-135_S75_L001_R1_001.fastq.gz,R-140722-16S-c-135_S75_L001_R1_001.fastq.gz,R1,27700
RC_seq230707_DWDQH_R_140722_16S_c_133_S73_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-140722-16S-c-133_S73_L001_R2_001.fastq.gz,R-140722-16S-c-133_S73_L001_R2_001.fastq.gz,R2,24176
RC_seq230707_DWDQH_R_210622_16S_c_36_2_S36_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-36-2_S36_L001_R1_001.fastq.gz,R-210622-16S-c-36-2_S36_L001_R1_001.fastq.gz,R1,26478
RC_seq230707_DWDQH_R_040722_16S_c_114_S54_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-040722-16S-c-114_S54_L001_R1_001.fastq.gz,R-040722-16S-c-114_S54_L001_R1_001.fastq.gz,R1,20717
RC_seq230707_DWDQH_R_P3_16S_c_pos_S97_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-P3-16S-c-pos_S97_L001_R1_001.fastq.gz,R-P3-16S-c-pos_S97_L001_R1_001.fastq.gz,R1,37541
RC_seq230707_DWDQH_R_040722_16S_c_112_S52_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-040722-16S-c-112_S52_L001_R2_001.fastq.gz,R-040722-16S-c-112_S52_L001_R2_001.fastq.gz,R2,27367
RC_seq230707_DWDQH_A_230622_16S_c_63_6_S156_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-63-6_S156_L001_R2_001.fastq.gz,A-230622-16S-c-63-6_S156_L001_R2_001.fastq.gz,R2,46255
RC_seq230707_DWDQH_H_200622_16S_c_16_7_S115_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-16-7_S115_L001_R1_001.fastq.gz,H-200622-16S-c-16-7_S115_L001_R1_001.fastq.gz,R1,18511
RC_seq230707_DWDQH_R_210622_16S_c_26_2_S84_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-26-2_S84_L001_R1_001.fastq.gz,R-210622-16S-c-26-2_S84_L001_R1_001.fastq.gz,R1,23006
RC_seq230707_DWDQH_A_230622_16S_c_60_5_S135_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-60-5_S135_L001_R2_001.fastq.gz,A-230622-16S-c-60-5_S135_L001_R2_001.fastq.gz,R2,46445
RC_seq230707_DWDQH_R_210622_16S_c_25_2_S171_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-25-2_S171_L001_R2_001.fastq.gz,R-210622-16S-c-25-2_S171_L001_R2_001.fastq.gz,R2,25715
RC_seq230707_DWDQH_R_210622_16S_c_34_6_S26_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-210622-16S-c-34-6_S26_L001_R2_001.fastq.gz,R-210622-16S-c-34-6_S26_L001_R2_001.fastq.gz,R2,45333
RC_seq230707_DWDQH_A_230622_16S_c_60_3_S133_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-60-3_S133_L001_R1_001.fastq.gz,A-230622-16S-c-60-3_S133_L001_R1_001.fastq.gz,R1,55490
RC_seq230707_DWDQH_H_200622_16S_c_21_2_S144_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-21-2_S144_L001_R1_001.fastq.gz,H-200622-16S-c-21-2_S144_L001_R1_001.fastq.gz,R1,35196
RC_seq230707_DWDQH_R_280622_16S_c_73_S13_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-280622-16S-c-73_S13_L001_R1_001.fastq.gz,R-280622-16S-c-73_S13_L001_R1_001.fastq.gz,R1,20903
