Path	Reads	TTC	ACG
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R1_001.fastq.gz	17693	0	17467
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-160622-16S-c-12_S12_L001_R1_001.fastq.gz	24333	0	24087
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R2_001.fastq.gz	40123	104	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-33_S20_L001_R1_001.fastq.gz	43446	0	42956
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-19-4_S132_L001_R1_001.fastq.gz	19712	0	19458
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-63-6_S156_L001_R2_001.fastq.gz	46255	108	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-47_S82_L001_R2_001.fastq.gz	25516	0	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-23-2_S158_L001_R1_001.fastq.gz	22572	0	22314
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-P3-16S-c-pos_S97_L001_R1_001.fastq.gz	37541	0	37168
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-135_S75_L001_R1_001.fastq.gz	27700	0	27447
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-60-3_S133_L001_R1_001.fastq.gz	55490	0	54759
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-P4-16S-c-pos_S186_L001_R2_001.fastq.gz	53838	28	2
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-60-5_S135_L001_R2_001.fastq.gz	46445	121	6
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-133_S73_L001_R2_001.fastq.gz	24176	6	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-112_S52_L001_R2_001.fastq.gz	27367	4	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-34-6_S26_L001_R2_001.fastq.gz	45333	49	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-36-2_S36_L001_R1_001.fastq.gz	26478	0	26123
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-114_S54_L001_R1_001.fastq.gz	20717	0	20514
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-61-7_S143_L001_R1_001.fastq.gz	58193	0	57522
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-21-2_S144_L001_R1_001.fastq.gz	35196	0	34874
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-25-2_S171_L001_R2_001.fastq.gz	25715	0	1
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-26-2_S84_L001_R1_001.fastq.gz	23006	1	22758
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-75_S15_L001_R2_001.fastq.gz	29713	36	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-16-7_S115_L001_R1_001.fastq.gz	18511	0	18309
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-73_S13_L001_R1_001.fastq.gz	20903	0	20588
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-49-1_S90_L001_R1_001.fastq.gz	39249	0	38895
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-37-6_S47_L001_R1_001.fastq.gz	32103	0	31654
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-16-1_S109_L001_R2_001.fastq.gz	22006	7	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-139_S79_L001_R2_001.fastq.gz	29314	10	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-101_S41_L001_R2_001.fastq.gz	23844	4	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-107_S47_L001_R1_001.fastq.gz	30562	0	30132
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-26-1_S1_L001_R1_001.fastq.gz	15935	0	15723
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-13-5_S94_L001_R2_001.fastq.gz	27181	99	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-26-6_S6_L001_R1_001.fastq.gz	30418	0	30039
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-13-3_S92_L001_R1_001.fastq.gz	19909	0	19607
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-39-4_S59_L001_R1_001.fastq.gz	25552	0	25325
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-36-7_S41_L001_R1_001.fastq.gz	40533	0	40134
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-48-4_S86_L001_R1_001.fastq.gz	35430	0	35072
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-30-6_S16_L001_R2_001.fastq.gz	33749	6	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-44-4_S76_L001_R1_001.fastq.gz	288665	1	286089
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-35-4_S31_L001_R1_001.fastq.gz	38907	1	38591
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-69_S163_L001_R2_001.fastq.gz	45584	43	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-38-6_S54_L001_R2_001.fastq.gz	43514	9	0
