Path	Reads
./seq230707_DWDQH/R-P2-16S-c-pos_S3_L001_R2_001.fastq.gz	2286
./seq230707_DWDQH/R-P3-16S-c-neg_S96_L001_R2_001.fastq.gz	56953
./seq230707_DWDQH/A-230622-16S-c-50-3_S99_L001_R1_001.fastq.gz	45162
./seq230707_DWDQH/R-210622-16S-c-43-4_S69_L001_R1_001.fastq.gz	27686
./seq230707_DWDQH/R-140722-16S-c-144_S83_L001_R1_001.fastq.gz	27336
./seq230707_DWDQH/A-230622-16S-c-61-2_S138_L001_R2_001.fastq.gz	44410
./seq230707_DWDQH/H-200622-16S-c-21-1_S143_L001_R2_001.fastq.gz	23216
./seq230707_DWDQH/H-200622-16S-c-14-5_S101_L001_R1_001.fastq.gz	32353
./seq230707_DWDQH/A-230622-16S-c-60-6_S185_L001_R1_001.fastq.gz	51498
./seq230707_DWDQH/A-230622-16S-c-52_S111_L001_R2_001.fastq.gz	38922
./seq230707_DWDQH/H-200622-16S-c-22-2_S151_L001_R2_001.fastq.gz	23433
./seq230707_DWDQH/R-160622-16S-c-2_S2_L001_R1_001.fastq.gz	25064
./seq230707_DWDQH/A-230622-16S-c-72-6_S183_L001_R2_001.fastq.gz	65832
./seq230707_DWDQH/H-200622-16S-c-14-1_S97_L001_R2_001.fastq.gz	27852
./seq230707_DWDQH/A-230622-16S-c-58-4_S120_L001_R2_001.fastq.gz	51423
./seq230707_DWDQH/R-210622-16S-c-38-5_S53_L001_R1_001.fastq.gz	26834
./seq230707_DWDQH/R-160622-16S-c-5_S5_L001_R1_001.fastq.gz	32304
./seq230707_DWDQH/R-210622-16S-c-35-3_S30_L001_R2_001.fastq.gz	35361
./seq230707_DWDQH/R-280622-16S-c-78_S18_L001_R1_001.fastq.gz	28327
./seq230707_DWDQH/A-230622-16S-c-72-4_S181_L001_R1_001.fastq.gz	60280
./seq230707_DWDQH/A-230622-16S-c-61-2_S138_L001_R1_001.fastq.gz	44410
./seq230707_DWDQH/H-200622-16S-c-22-6_S155_L001_R1_001.fastq.gz	23335
./seq230707_DWDQH/R-210622-16S-c-39-3_S58_L001_R2_001.fastq.gz	40266
./seq230707_DWDQH/A-230622-16S-c-59-2_S125_L001_R2_001.fastq.gz	39623
./seq230707_DWDQH/H-200622-16S-c-13-4_S93_L001_R2_001.fastq.gz	19663
./seq230707_DWDQH/A-230622-16S-c-51-7_S110_L001_R2_001.fastq.gz	48979
./seq230707_DWDQH/H-200622-16S-c-17-6_S120_L001_R2_001.fastq.gz	26743
./seq230707_DWDQH/R-140722-16S-c-121_S61_L001_R2_001.fastq.gz	25013
./seq230707_DWDQH/A-230622-16S-c-72-6_S183_L001_R1_001.fastq.gz	65832
./seq230707_DWDQH/R-040722-16S-c-119_S59_L001_R2_001.fastq.gz	29673
./seq230707_DWDQH/R-140722-16S-c-127_S67_L001_R1_001.fastq.gz	26642
./seq230707_DWDQH/A-230622-16S-c-50-3_S99_L001_R2_001.fastq.gz	45162
./seq230707_DWDQH/R-140722-16S-c-132_S72_L001_R2_001.fastq.gz	19178
./seq230707_DWDQH/H-200622-16S-c-21-5_S147_L001_R1_001.fastq.gz	28723
./seq230707_DWDQH/A-230622-16S-c-70-2_S165_L001_R2_001.fastq.gz	44303
./seq230707_DWDQH/R-140722-16S-c-134_S74_L001_R1_001.fastq.gz	26703
./seq230707_DWDQH/A-230622-16S-c-60-6_S185_L001_R2_001.fastq.gz	51498
./seq230707_DWDQH/R-P1-16S-c-neg_S89_L001_R1_001.fastq.gz	29446
./seq230707_DWDQH/H-200622-16S-c-20-3_S138_L001_R1_001.fastq.gz	22488
./seq230707_DWDQH/A-230622-16S-c-51-5_S108_L001_R2_001.fastq.gz	39721
./seq230707_DWDQH/A-230622-16S-c-62-4_S147_L001_R1_001.fastq.gz	40519
./seq230707_DWDQH/R-210622-16S-c-32_S19_L001_R2_001.fastq.gz	21875
./seq230707_DWDQH/A-230622-16S-c-56_S115_L001_R1_001.fastq.gz	31561
./seq230707_DWDQH/A-230622-16S-c-58-6_S122_L001_R2_001.fastq.gz	27898
./seq230707_DWDQH/R-210622-16S-c-25-5_S174_L001_R2_001.fastq.gz	20107
./seq230707_DWDQH/R-210622-16S-c-25-3_S172_L001_R1_001.fastq.gz	27775
./seq230707_DWDQH/R-P3-16S-c-neg_S96_L001_R1_001.fastq.gz	56953
./seq230707_DWDQH/H-200622-16S-c-19-3_S131_L001_R1_001.fastq.gz	9570
./seq230707_DWDQH/R-040722-16S-c-115_S55_L001_R1_001.fastq.gz	28017
./seq230707_DWDQH/R-210622-16S-c-36-3_S37_L001_R1_001.fastq.gz	28229
./seq230707_DWDQH/R-040722-16S-c-113_S53_L001_R2_001.fastq.gz	25410
./seq230707_DWDQH/R-210622-16S-c-34-1_S21_L001_R1_001.fastq.gz	25233
./seq230707_DWDQH/H-200622-16S-c-20-2_S137_L001_R2_001.fastq.gz	25712
./seq230707_DWDQH/R-280622-16S-c-74_S14_L001_R2_001.fastq.gz	18398
./seq230707_DWDQH/A-230622-16S-c-49-7_S86_L001_R2_001.fastq.gz	23408
./seq230707_DWDQH/R-210622-16S-c-34-7_S27_L001_R2_001.fastq.gz	37836
./seq230707_DWDQH/R-040722-16S-c-106_S46_L001_R1_001.fastq.gz	25259
./seq230707_DWDQH/H-200622-16S-c-24-7_S169_L001_R1_001.fastq.gz	21826
./seq230707_DWDQH/R-210622-16S-c-26-3_S85_L001_R1_001.fastq.gz	31536
./seq230707_DWDQH/A-230622-16S-c-67_S161_L001_R1_001.fastq.gz	40407
./seq230707_DWDQH/R-040722-16S-c-100_S40_L001_R2_001.fastq.gz	18924
./seq230707_DWDQH/A-230622-16S-c-60-7_S136_L001_R2_001.fastq.gz	58300
