EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_013_BS_230622_W_2_EX_230731,BS_230622_W_2,2023-07-31,8.0,0.026,3
EX_LY_A_2022_SP_013_BS_230622_W_3_EX_230731,BS_230622_W_3,2023-07-31,8.0,0.168,3
EX_LY_A_2022_SP_013_BS_230622_W_4_EX_230731,BS_230622_W_4,2023-07-31,8.0,0.125,3
EX_LY_A_2022_SP_013_BS_230622_W_5_EX_230731,BS_230622_W_5,2023-07-31,8.0,0.185,3
EX_LY_A_2022_SP_013_BS_230622_W_6_EX_230731,BS_230622_W_6,2023-07-31,8.0,0.038,3
EX_LY_A_2022_SP_013_BS_230622_W_7_EX_230731,BS_230622_W_7,2023-07-31,8.0,0.028,3
EX_LY_A_2022_SP_014_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0 | 4,,8
EX_LY_A_2022_SP_014_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_014_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_014_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0 | 4,,12
EX_LY_A_2022_SP_014_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0 | 4,,4
EX_LY_A_2022_SP_014_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0,,2
EX_LY_A_2022_SP_014_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_014_BS_230622_W_1_EX_230731,BS_230622_W_1,2023-07-31,8.0,0.142,3
EX_LY_A_2022_SP_014_BS_230622_W_2_EX_230731,BS_230622_W_2,2023-07-31,9.0,1.5440062618441708,2
EX_LY_A_2022_SP_014_BS_230622_W_3_EX_230731,BS_230622_W_3,2023-07-31,9.0,0.0305487640664819,2
EX_LY_A_2022_SP_014_BS_230622_W_4_EX_230731,BS_230622_W_4,2023-07-31,9.0,0.0764866536459065,2
EX_LY_A_2022_SP_014_BS_230622_W_5_EX_230731,BS_230622_W_5,2023-07-31,9.0,0.0918172824829229,2
EX_LY_A_2022_SP_014_BS_230622_W_6_EX_230731,BS_230622_W_6,2023-07-31,9.0,0.1296601320629955,2
EX_LY_A_2022_SP_014_BS_230622_W_7_EX_230731,BS_230622_W_7,2023-07-31,9.0,0.250937240491309,2
EX_LY_A_2022_SP_015_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0,,2
EX_LY_A_2022_SP_015_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0 | 4,,8
EX_LY_A_2022_SP_015_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,8
EX_LY_A_2022_SP_015_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0 | 4,,8
EX_LY_A_2022_SP_015_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0 | 4,,8
EX_LY_A_2022_SP_015_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0,,2
EX_LY_A_2022_SP_015_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_015_BS_230622_W_1_EX_230802,BS_230622_W_1,2023-08-02,9.0,0.2169709206274353,2
EX_LY_A_2022_SP_015_BS_230622_W_2_EX_230802,BS_230622_W_2,2023-08-02,9.0,0.2238690286424474,2
EX_LY_A_2022_SP_015_BS_230622_W_3_EX_230802,BS_230622_W_3,2023-08-02,9.0,0.0782888012388696,2
EX_LY_A_2022_SP_015_BS_230622_W_4_EX_230802,BS_230622_W_4,2023-08-02,9.0,0.336169147188211,2
EX_LY_A_2022_SP_015_BS_230622_W_5_EX_230802,BS_230622_W_5,2023-08-02,9.0,0.1826716196852114,2
EX_LY_A_2022_SP_015_BS_230622_W_6_EX_230802,BS_230622_W_6,2023-08-02,9.0,0.1542017374862673,2
EX_LY_A_2022_SP_015_BS_230622_W_7_EX_230802,BS_230622_W_7,2023-08-02,9.0,0.412714297510044,2
EX_LY_A_2022_SP_016_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0,,2
EX_LY_A_2022_SP_016_BS_230622_W_1_EX_230802,BS_230622_W_1,2023-08-02,9.0,0.2733684658369288,2
