sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__1.0__36.0__3.0,LY__2021,,,,,,1.0,36.0,3.0,,,,n,Zero,Heerup,,300.0,,
SP__LY__2021__1.0__35.0__3.0,LY__2021,,,,,,1.0,35.0,3.0,,,,n,Zero,Heerup,,450.0,,
SP__LY__2021__1.0__34.0__3.0,LY__2021,,,,,,1.0,34.0,3.0,,,,n,Zero,Rembrandt,,150.0,,
SP__LY__2021__1.0__33.0__3.0,LY__2021,,,,,,1.0,33.0,3.0,,,,n,Zero,Sheriff,,150.0,,
SP__LY__2021__1.0__32.0__3.0,LY__2021,,,,,,1.0,32.0,3.0,,,,n,Zero,Rembrandt,,450.0,,
SP__LY__2021__1.0__31.0__3.0,LY__2021,,,,,,1.0,31.0,3.0,,,,n,Zero,Sheriff,,300.0,,
SP__LY__2021__1.0__30.0__3.0,LY__2021,,,,,,1.0,30.0,3.0,,,,n,Zero,Heerup,,150.0,,
SP__LY__2021__1.0__29.0__3.0,LY__2021,,,,,,1.0,29.0,3.0,,,,n,Zero,Sheriff,,450.0,,
SP__LY__2021__1.0__28.0__3.0,LY__2021,,,,,,1.0,28.0,3.0,,,,n,Zero,Kvium,,150.0,,
SP__LY__2021__1.0__27.0__3.0,LY__2021,,,,,,1.0,27.0,3.0,,,,n,Zero,Kvium,,300.0,,
SP__LY__2021__1.0__26.0__3.0,LY__2021,,,,,,1.0,26.0,3.0,,,,n,Zero,Rembrandt,,300.0,,
SP__LY__2021__1.0__25.0__3.0,LY__2021,,,,,,1.0,25.0,3.0,,,,n,Zero,Kvium,,450.0,,
SP__LY__2021__1.0__24.0__2.0,LY__2021,,,,,,1.0,24.0,2.0,,,,n,Normal,Rembrandt,,150.0,,
SP__LY__2021__1.0__23.0__2.0,LY__2021,,,,,,1.0,23.0,2.0,,,,n,Normal,Kvium,,450.0,,
SP__LY__2021__1.0__22.0__2.0,LY__2021,,,,,,1.0,22.0,2.0,,,,n,Normal,Rembrandt,,450.0,,
SP__LY__2021__2.0__37.0__4.0,LY__2021,,,,,,2.0,37.0,4.0,,,,n,Zero,Sheriff,,300.0,,
SP__LY__2021__3.0__94.0__8.0,LY__2021,,,,,,3.0,94.0,8.0,,,,n,Zero,Kvium,,450.0,,
SP__LY__2021__2.0__38.0__4.0,LY__2021,,,,,,2.0,38.0,4.0,,,,n,Zero,Rembrandt,,300.0,,
SP__LY__2021__2.0__40.0__4.0,LY__2021,,,,,,2.0,40.0,4.0,,,,n,Zero,Heerup,,450.0,,
SP__LY__2021__2.0__55.0__5.0,LY__2021,,,,,,2.0,55.0,5.0,,,,n,Normal,Rembrandt,,150.0,,
SP__LY__2021__2.0__54.0__5.0,LY__2021,,,,,,2.0,54.0,5.0,,,,n,Normal,Heerup,,300.0,,
SP__LY__2021__2.0__53.0__5.0,LY__2021,,,,,,2.0,53.0,5.0,,,,n,Normal,Heerup,,450.0,,
SP__LY__2021__2.0__52.0__5.0,LY__2021,,,,,,2.0,52.0,5.0,,,,n,Normal,Rembrandt,,450.0,,
SP__LY__2021__2.0__51.0__5.0,LY__2021,,,,,,2.0,51.0,5.0,,,,n,Normal,Sheriff,,300.0,,
SP__LY__2021__2.0__50.0__5.0,LY__2021,,,,,,2.0,50.0,5.0,,,,n,Normal,Kvium,,150.0,,
SP__LY__2021__2.0__49.0__5.0,LY__2021,,,,,,2.0,49.0,5.0,,,,n,Normal,Rembrandt,,300.0,,
SP__LY__2021__2.0__48.0__4.0,LY__2021,,,,,,2.0,48.0,4.0,,,,n,Zero,Sheriff,,150.0,,
SP__LY__2021__2.0__47.0__4.0,LY__2021,,,,,,2.0,47.0,4.0,,,,n,Zero,Kvium,,150.0,,
