run_library_assignment_id,sequencing_run_id,library_preparation_id
RLA__seq230714_FWU63__LP__DX__T-030620-w-33__1.0__5A__2021-01-09__1__5A__101.0__16S,seq230714_FWU63,LP__DX__T-030620-w-33__1.0__5A__2021-01-09__1__5A__101.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-32__1.0__4H__2021-01-09__1__4H__184.0__16S,seq230714_FWU63,LP__DX__T-030620-w-32__1.0__4H__2021-01-09__1__4H__184.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-31__1.0__4G__2021-01-09__1__4G__172.0__16S,seq230714_FWU63,LP__DX__T-030620-w-31__1.0__4G__2021-01-09__1__4G__172.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-30__1.0__4F__2021-01-09__1__4F__160.0__16S,seq230714_FWU63,LP__DX__T-030620-w-30__1.0__4F__2021-01-09__1__4F__160.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-29__1.0__4E__2021-01-09__1__4E__148.0__16S,seq230714_FWU63,LP__DX__T-030620-w-29__1.0__4E__2021-01-09__1__4E__148.0__16S
RLA__seq230714_FWU63__LP__DX__T-030620-w-27__1.0__4C__2021-01-09__1__4C__124.0__16S,seq230714_FWU63,LP__DX__T-030620-w-27__1.0__4C__2021-01-09__1__4C__124.0__16S
RLA__seq230714_FWU63__LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__16S,seq230714_FWU63,LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__16S
RLA__seq231107_RISO1__LP__DX__T-150621-c-mystery__7C__2.0__7C__223.0__16S,seq231107_RISO1,LP__DX__T-150621-c-mystery__7C__2.0__7C__223.0__16S
RLA__seq230710_GW4I8__LP__DX__T-150621-c-118__21__3H__2.0__3H__279.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-118__21__3H__2.0__3H__279.0__ITS
RLA__seq230710_GW4I8__LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__12E__1.0__12E__223.0__ITS,seq230710_GW4I8,LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__12E__1.0__12E__223.0__ITS
RLA__seq230710_GW4I8__LP__DX__Ultrapure-water__12F__1.0__12F__235.0__ITS,seq230710_GW4I8,LP__DX__Ultrapure-water__12F__1.0__12F__235.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-144__21__7B__2.0__7B__211.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-144__21__7B__2.0__7B__211.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-143__21__7A__2.0__7A__199.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-143__21__7A__2.0__7A__199.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-142__21__6H__2.0__6H__282.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-142__21__6H__2.0__6H__282.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-141__21__6G__2.0__6G__270.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-141__21__6G__2.0__6G__270.0__ITS
RLA__seq230710_GW4I8__LP__DX__Ultrapure-water__7F__2.0__7F__259.0__ITS,seq230710_GW4I8,LP__DX__Ultrapure-water__7F__2.0__7F__259.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-140__21__6F__2.0__6F__258.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-140__21__6F__2.0__6F__258.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-138__21__6D__2.0__6D__234.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-138__21__6D__2.0__6D__234.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-137__21__6C__2.0__6C__222.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-137__21__6C__2.0__6C__222.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-136__21__6B__2.0__6B__210.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-136__21__6B__2.0__6B__210.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-135__21__6A__2.0__6A__198.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-135__21__6A__2.0__6A__198.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-134__21__5H__2.0__5H__281.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-134__21__5H__2.0__5H__281.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-133__21__5G__2.0__5G__269.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-133__21__5G__2.0__5G__269.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-150621-c-139__21__6E__2.0__6E__246.0__ITS,seq230710_GW4I8,LP__DX__T-150621-c-139__21__6E__2.0__6E__246.0__ITS
