LY,SP,LY_SP,SP_plot,SP_sample_number,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location
LY_H_2022,SP_016,LY_H_2022__SP_016,16,16,B7,Heerup,TRUE,,6,25,H
LY_H_2022,SP_017,LY_H_2022__SP_017,17,17,B5,Kvium,TRUE,,6,26,H
LY_H_2022,SP_018,LY_H_2022__SP_018,18,18,B16,Rembrandt,TRUE,,6,48,H
LY_H_2022,SP_019,LY_H_2022__SP_019,19,19,A16,Rembrandt,FALSE,,7,14,H
LY_H_2022,SP_020,LY_H_2022__SP_020,20,20,A5,Kvium,FALSE,,7,31,H
LY_H_2022,SP_021,LY_H_2022__SP_021,21,21,A7,Heerup,FALSE,,7,50,H
LY_H_2022,SP_022,LY_H_2022__SP_022,22,22,B16,Rembrandt,TRUE,,8,32,H
LY_H_2022,SP_023,LY_H_2022__SP_023,23,23,B7,Heerup,TRUE,,8,36,H
LY_H_2022,SP_024,LY_H_2022__SP_024,24,24,B5,Kvium,TRUE,,8,59,H
LY_L_2022,SP_001,LY_L_2022__SP_001,1,1,A7,Heerup,FALSE,,1,12,L
LY_L_2022,SP_002,LY_L_2022__SP_002,2,2,A5,Kvium,FALSE,,1,15,L
LY_L_2022,SP_003,LY_L_2022__SP_003,3,3,A16,Rembrandt,FALSE,,1,20,L
LY_L_2022,SP_004,LY_L_2022__SP_004,4,4,B5,Kvium,TRUE,,1,56,L
LY_L_2022,SP_005,LY_L_2022__SP_005,5,5,B16,Rembrandt,TRUE,,1,79,L
LY_L_2022,SP_006,LY_L_2022__SP_006,6,6,B7,Heerup,TRUE,,1,94,L
LY_L_2022,SP_007,LY_L_2022__SP_007,7,7,B7,Heerup,TRUE,,2,19,L
LY_L_2022,SP_008,LY_L_2022__SP_008,8,8,B5,Kvium,TRUE,,2,38,L
LY_L_2022,SP_009,LY_L_2022__SP_009,9,9,B16,Rembrandt,TRUE,,2,52,L
LY_L_2022,SP_010,LY_L_2022__SP_010,10,10,A7,Heerup,FALSE,,2,66,L
LY_L_2022,SP_011,LY_L_2022__SP_011,11,11,A16,Rembrandt,FALSE,,2,83,L
LY_L_2022,SP_012,LY_L_2022__SP_012,12,12,A5,Kvium,FALSE,,2,97,L
LY_L_2022,SP_013,LY_L_2022__SP_013,13,13,A7,Heerup,FALSE,,3,8,L
LY_L_2022,SP_014,LY_L_2022__SP_014,14,14,A5,Kvium,FALSE,,3,15,L
LY_L_2022,SP_015,LY_L_2022__SP_015,15,15,A16,Rembrandt,FALSE,,3,41,L
