sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__R__2022__024,LY__R__2022,,24,,,,16.0,,,,,,n,n,,Kvium,,
SP__LY__R__2022__024,LY__R__2022,,24,,,,,,,,,,,,,Kvium,,yes
SP__LY__R__2022__024,LY__R__2022,,24,,,,,,,,,A5,,,,Kvium,,n
SP__LY__R__2022__024,LY__R__2022,,24,,,,,,,,,A5,,,,Kvium,,y
SP__LY__R__2022__024,LY__R__2022,,24,,,,,,,,,,,,,Kvium,,y
SP__LY__R__2022__UNKNOWN,LY__R__2022,,,,,,,,,,,,,,,,,
SP__LY__S__2022__001,LY__S__2022,,1,,,,,,,,,A5,,,,Kvium,,n
SP__LY__S__2022__001,LY__S__2022,,1,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__002,LY__S__2022,,2,,,,,,,,,A7,,,,Heerup,,n
SP__LY__S__2022__003,LY__S__2022,,3,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__S__2022__003,LY__S__2022,,3,,,,,,,,,B5,,,,Kvium,,y
SP__LY__S__2022__004,LY__S__2022,,4,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__S__2022__004,LY__S__2022,,4,,,,,,,,,B7,,,,Heerup,,y
