run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260520_BRLUV,A-230622-16S-c-59-2,BRLUV2-A-230622-16S-c-59-2_S359_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-2_S359_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-59-3,BRLUV2-A-230622-16S-c-59-3_S358_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-3_S358_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-59-4,BRLUV2-A-230622-16S-c-59-4_S346_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-4_S346_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-59-5,BRLUV2-A-230622-16S-c-59-5_S347_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-5_S347_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-c-59-6,BRLUV2-A-230622-16S-c-59-6_S353_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-c-59-6_S353_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-1,BRLUV2-A-230622-16S-w-1-1_S240_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-1_S240_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-2,BRLUV2-A-230622-16S-w-1-2_S239_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-2_S239_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-3,BRLUV2-A-230622-16S-w-1-3_S238_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-3_S238_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-4,BRLUV2-A-230622-16S-w-1-4_S237_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-4_S237_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-5,BRLUV2-A-230622-16S-w-1-5_S236_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-5_S236_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-6,BRLUV2-A-230622-16S-w-1-6_S235_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-6_S235_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-1-7,BRLUV2-A-230622-16S-w-1-7_S234_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-1-7_S234_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-1,BRLUV2-A-230622-16S-w-10-1_S179_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-1_S179_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-2,BRLUV2-A-230622-16S-w-10-2_S178_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-2_S178_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-3,BRLUV2-A-230622-16S-w-10-3_S177_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-3_S177_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-4,BRLUV2-A-230622-16S-w-10-4_S176_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-4_S176_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-5,BRLUV2-A-230622-16S-w-10-5_S175_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-5_S175_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-6,BRLUV2-A-230622-16S-w-10-6_S184_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-6_S184_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-10-7,BRLUV2-A-230622-16S-w-10-7_S197_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-10-7_S197_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-1,BRLUV2-A-230622-16S-w-11-1_S207_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-1_S207_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-2,BRLUV2-A-230622-16S-w-11-2_S198_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-2_S198_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-3,BRLUV2-A-230622-16S-w-11-3_S217_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-3_S217_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-4,BRLUV2-A-230622-16S-w-11-4_S216_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-4_S216_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-5,BRLUV2-A-230622-16S-w-11-5_S215_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-5_S215_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-6,BRLUV2-A-230622-16S-w-11-6_S214_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-6_S214_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-11-7,BRLUV2-A-230622-16S-w-11-7_S213_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-11-7_S213_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-1,BRLUV2-A-230622-16S-w-12-1_S212_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-1_S212_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-2,BRLUV2-A-230622-16S-w-12-2_S211_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-2_S211_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-3,BRLUV2-A-230622-16S-w-12-3_S210_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-3_S210_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-4,BRLUV2-A-230622-16S-w-12-4_S209_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-4_S209_L001_R2_001.fastq.gz
